City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
459,Plainview,US,73.4,clear sky,40.78,-73.47,Holiday Inn Plainview-Long Island
461,Mabaruma,GY,81.81,few clouds,8.2,-59.78,
464,Kudat,MY,75.2,light rain,6.88,116.85,Dream Garden Hotel
468,Chauk,MM,73.4,clear sky,20.88,94.82,Bo Khin Guest House
469,Mount Gambier,AU,68.0,clear sky,-37.83,140.77,Commodore on the Park
472,Takoradi,GH,79.18,moderate rain,4.88,-1.76,Raybow International Hotel
476,Iquique,CL,69.8,few clouds,-20.22,-70.14,Backpacker`s Hostel Iquique
477,Umm Kaddadah,SD,78.26,clear sky,13.6,26.69,
485,Agadez,NE,68.29,clear sky,19.75,10.25,
487,Matay,EG,66.99,clear sky,28.42,30.78,Nag Aespen
488,Ixtapa,MX,84.99,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
489,Esna,EG,69.8,clear sky,25.29,32.55,Orient Star Dahabyia Isna 05 Nights Each Sunday
495,Ekuvukeni,ZA,61.11,light rain,-28.47,30.16,Sibeko Resident
497,Sinnamary,GF,82.69,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
498,Ballina,AU,60.8,overcast clouds,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
500,Nantucket,US,64.4,clear sky,41.28,-70.1,Jared Coffin House
505,Daura,NG,78.06,broken clouds,11.55,11.41,
508,Tanout,NE,74.7,clear sky,14.97,8.89,
511,Tecoanapa,MX,84.94,few clouds,16.52,-98.75,Hotel Manglares
514,North Myrtle Beach,US,80.01,clear sky,33.82,-78.68,Avista Resort
515,Manhattan,US,77.0,clear sky,40.78,-73.97,Hotel Pennsylvania
517,Buchanan,LR,78.8,scattered clouds,5.88,-10.05,Kamaneahn Hotel Inc
518,Monte Escobedo,MX,72.73,clear sky,22.3,-103.58,
519,Kisangani,CD,72.01,moderate rain,0.52,25.2,Grand Ramela Hotel
521,Santiago Del Estero,AR,84.0,scattered clouds,-27.8,-64.26,Hotel Urbano
522,Saint-Joseph,RE,73.4,few clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
528,Zemio,CF,72.23,light rain,5.03,25.14,
529,Buala,SB,81.73,clear sky,-8.14,159.59,Maringe Lagoon Lodge
531,Katherine,AU,82.4,broken clouds,-14.47,132.27,Pine Tree Motel
532,Tezu,IN,66.83,clear sky,27.92,96.17,Circuit House
533,Brewster,US,75.2,clear sky,41.4,-73.62,Heidi's Inn
534,Auki,SB,80.31,moderate rain,-8.77,160.7,Auki Motel
535,Bairiki,KI,82.4,few clouds,1.33,172.98,Tarawa Boutique Hotel
537,Linhares,BR,79.54,few clouds,-19.39,-40.07,Hotel Conceição
538,Sakakah,SA,66.2,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
539,Ribeira Brava,PT,64.4,scattered clouds,32.65,-17.07,Hotel do Campo
540,Sola,VU,81.81,overcast clouds,-13.88,167.55,Ulkel Guest House
542,Midland,US,80.6,clear sky,32.0,-102.08,DoubleTree by Hilton Hotel Midland Plaza
544,San Pedro De Macoris,DO,80.6,broken clouds,18.46,-69.3,Apartahotel Guaraguao
545,Kalmunai,LK,78.19,light rain,7.42,81.82,VS Villa
546,Zaraza,VE,83.48,moderate rain,9.35,-65.32,Hotel Zaraza
548,Kununurra,AU,80.6,broken clouds,-15.77,128.73,Hotel Kununurra
549,Huizhou,CN,73.0,overcast clouds,23.08,114.4,宜必思酒店
553,Hope,US,78.01,broken clouds,33.67,-93.59,Best Western Hope
556,Teguise,ES,69.8,scattered clouds,29.06,-13.56,B&B La Casona de Nazaret
560,Kroya,ID,64.0,overcast clouds,-7.63,109.25,RUSTANTO Fam
561,Sabang,ID,80.82,moderate rain,5.89,95.32,Hotel Citra
562,Luau,AO,66.69,overcast clouds,-10.71,22.22,Kimbo Hotel
563,Clinton,US,78.8,few clouds,42.59,-82.92,River's Edge
566,Maningrida,AU,77.92,broken clouds,-12.07,134.27,Dhukurrdji Lodge
567,Ipixuna,BR,84.2,broken clouds,-1.76,-48.8,Casa da Oscarina
568,Kampong Cham,KH,71.44,overcast clouds,11.99,105.46,7 Makara Hotel
569,Taoudenni,ML,82.47,clear sky,22.68,-3.98,
570,Puquio,PE,65.12,broken clouds,-14.7,-74.13,Hostal Jousef
571,Reconquista,AR,80.33,light rain,-29.15,-59.65,Grand Hotel
572,Marsa Matruh,EG,66.2,scattered clouds,31.35,27.25,Beau Site
573,Harper,LR,78.82,light rain,4.38,-7.72,Screensaver
574,Boyolangu,ID,75.99,overcast clouds,-8.12,111.89,Yos ega cv
578,Rutana,BI,60.3,broken clouds,-3.87,30.1,Failles des Allemands
579,Villa Maria,AR,67.48,broken clouds,-32.41,-63.24,Hotel Milenium
581,Muisne,EC,80.6,broken clouds,0.6,-80.03,Quinta Samay
582,Antofagasta,CL,64.4,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
583,Kasongo-Lunda,CD,72.09,overcast clouds,-6.47,16.82,
585,Koundara,GN,82.92,clear sky,12.48,-13.3,
587,Kendari,ID,74.07,overcast clouds,-3.94,122.5,Hotel Wixel
589,Arlit,NE,75.97,clear sky,18.74,7.39,Hôtel Telwa Bungalow
591,Marquette,US,72.0,overcast clouds,46.53,-87.63,Al Quaal Lodge
592,Garoua,CM,82.18,clear sky,9.3,13.4,Hotel De L'Amitie
593,Namatanai,PG,80.69,overcast clouds,-3.67,152.43,Namatanai Hotel
595,Amalapuram,IN,68.58,clear sky,16.58,82.02,swayamprabha service apartments
597,Narsipatnam,IN,71.6,mist,17.67,82.62,Lodge Vooda Residency AC
601,Joppatowne,US,73.4,clear sky,39.46,-76.36,Hampton Inn & Suites Edgewood/Aberdeen-South
602,Kupang,ID,79.97,overcast clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
